1	1.8
1.1	1.86667
1.2	1.46667
1.3	1.2
1.4	1
1.5	1.12593
1.6	0.8
1.7	0.533333
1.8	0.266667
1.9	0
2	-0.2
2.1	-0.333333
2.2	-0.533333
2.3	-0.666667
2.4	-0.8
2.5	-0.666667
2.6	-0.733333
2.7	-0.733333
2.8	-0.8
2.9	-1.2
3	-1.6
3.1	-1.8
3.2	-1.46667
3.3	-0.8
3.4	-0.533333
3.5	-0.8
3.6	-0.866667
3.7	-0.933333
3.8	-0.866667
3.9	-0.933333
4	-0.933333
4.1	-0.933333
4.2	-1.13333
4.3	-0.866667
4.4	-0.8
4.5	-0.8
4.6	-0.733333
4.7	-0.533333
4.8	-0.6
4.9	-0.4
5	-0.6
5.1	-0.8
5.2	-1
5.3	-1
5.4	-1.13333
5.5	-0.866667
5.6	-0.6
5.7	-0.133333
5.8	0.133333
5.9	0.4
6	0.466667
6.1	0.533333
6.2	0.533333
6.3	0.466667
6.4	0.533333
6.5	0.266667
6.6	0
6.7	-0.4
6.8	-0.266667
6.9	0.0666667
7	0.4
7.1	0.866667
7.2	1.2
7.3	1.4
7.4	1.86667
7.5	1.4
7.6	1.13333
7.7	0.533333
7.8	-0.266667
7.9	-0.4
8	1.33333
8.1	1.13333
8.2	0.8
8.3	0.533333
8.4	-0.2
8.5	-0.333333
8.6	-0.8
8.7	-0.6
8.8	-0.733333
